"","date","category","content"
"419",2018-01-03 05:00:00,"B","Error"
"420",2018-01-03 05:20:00,"C","Check with author"
"421",2018-01-03 05:40:00,"A","Error"
"422",2018-01-03 06:00:00,"B","Error"
"423",2018-01-03 06:20:00,"C","Attach"
"424",2018-01-03 06:40:00,"A","Check with author"
"425",2018-01-03 07:00:00,"B","Attach"
"426",2018-01-03 07:20:00,"C","Error"
"427",2018-01-03 07:40:00,"A","Error"
"428",2018-01-03 08:00:00,"B","Check with author"
"429",2018-01-03 08:20:00,"C","Check with author"
"430",2018-01-03 08:40:00,"A","Debug"
"431",2018-01-03 09:00:00,"B","Warn"
"432",2018-01-03 09:20:00,"C","No clue"
"433",2018-01-03 09:40:00,"A","Limit"
"434",2018-01-03 10:00:00,"B","Limit"
"435",2018-01-03 10:20:00,"C","Warn"
"436",2018-01-03 10:40:00,"A","Warn"
"437",2018-01-03 11:00:00,"B","No clue"
"438",2018-01-03 11:20:00,"C","Limit"
"439",2018-01-03 11:40:00,"A","Debug"
"440",2018-01-03 12:00:00,"B","Check with author"
"441",2018-01-03 12:20:00,"C","No clue"
"442",2018-01-03 12:40:00,"A","Check with author"
"443",2018-01-03 13:00:00,"B","Debug"
"444",2018-01-03 13:20:00,"C","Error"
"445",2018-01-03 13:40:00,"A","No clue"
"446",2018-01-03 14:00:00,"B","Attach"
"447",2018-01-03 14:20:00,"C","Debug"
"448",2018-01-03 14:40:00,"A","Limit"
"449",2018-01-03 15:00:00,"B","Debug"
"450",2018-01-03 15:20:00,"C","Debug"
"451",2018-01-03 15:40:00,"A","Limit"
"452",2018-01-03 16:00:00,"B","Check with author"
"453",2018-01-03 16:20:00,"C","Error"
"454",2018-01-03 16:40:00,"A","Limit"
"455",2018-01-03 17:00:00,"B","Error"
"456",2018-01-03 17:20:00,"C","Limit"
"457",2018-01-03 17:40:00,"A","Debug"
"458",2018-01-03 18:00:00,"B","Error"
"459",2018-01-03 18:20:00,"C","No clue"
"460",2018-01-03 18:40:00,"A","Check with author"
"461",2018-01-03 19:00:00,"B","Warn"
"462",2018-01-03 19:20:00,"C","No clue"
"463",2018-01-03 19:40:00,"A","No clue"
"464",2018-01-03 20:00:00,"B","Warn"
"465",2018-01-03 20:20:00,"C","Check with author"
"466",2018-01-03 20:40:00,"A","Limit"
"467",2018-01-03 21:00:00,"B","Attach"
"468",2018-01-03 21:20:00,"C","Error"
"469",2018-01-03 21:40:00,"A","Limit"
"470",2018-01-03 22:00:00,"B","Check with author"
"471",2018-01-03 22:20:00,"C","Warn"
"472",2018-01-03 22:40:00,"A","Error"
"473",2018-01-03 23:00:00,"B","Error"
"474",2018-01-03 23:20:00,"C","Debug"
"475",2018-01-03 23:40:00,"A","Error"
"476",2018-01-04 00:00:00,"B","Check with author"
"477",2018-01-04 00:20:00,"C","Error"
"478",2018-01-04 00:40:00,"A","Debug"
"479",2018-01-04 01:00:00,"B","Attach"
"480",2018-01-04 01:20:00,"C","Check with author"
"481",2018-01-04 01:40:00,"A","Check with author"
"482",2018-01-04 02:00:00,"B","Debug"
"483",2018-01-04 02:20:00,"C","Check with author"
"484",2018-01-04 02:40:00,"A","Check with author"
"485",2018-01-04 03:00:00,"B","Attach"
"486",2018-01-04 03:20:00,"C","Attach"
"487",2018-01-04 03:40:00,"A","No clue"
"488",2018-01-04 04:00:00,"B","Warn"
"489",2018-01-04 04:20:00,"C","Warn"
"490",2018-01-04 04:40:00,"A","Debug"
"491",2018-01-04 05:00:00,"B","Warn"
"492",2018-01-04 05:20:00,"C","Limit"
"493",2018-01-04 05:40:00,"A","Check with author"
"494",2018-01-04 06:00:00,"B","Error"
"495",2018-01-04 06:20:00,"C","Attach"
"496",2018-01-04 06:40:00,"A","Warn"
"497",2018-01-04 07:00:00,"B","Limit"
"498",2018-01-04 07:20:00,"C","Error"
"499",2018-01-04 07:40:00,"A","Debug"
"500",2018-01-04 08:00:00,"B","Attach"
"501",2018-01-04 08:20:00,"C","Limit"
"502",2018-01-04 08:40:00,"A","Limit"
"503",2018-01-04 09:00:00,"B","Attach"
"504",2018-01-04 09:20:00,"C","Warn"
"505",2018-01-04 09:40:00,"A","No clue"
"506",2018-01-04 10:00:00,"B","Debug"
"507",2018-01-04 10:20:00,"C","Error"
"508",2018-01-04 10:40:00,"A","Error"
"509",2018-01-04 11:00:00,"B","Limit"
"510",2018-01-04 11:20:00,"C","No clue"
"511",2018-01-04 11:40:00,"A","Check with author"
"512",2018-01-04 12:00:00,"B","Debug"
"513",2018-01-04 12:20:00,"C","Attach"
"514",2018-01-04 12:40:00,"A","Debug"
"515",2018-01-04 13:00:00,"B","Check with author"
"516",2018-01-04 13:20:00,"C","Limit"
"517",2018-01-04 13:40:00,"A","Warn"
"518",2018-01-04 14:00:00,"B","Check with author"
"519",2018-01-04 14:20:00,"C","No clue"
"520",2018-01-04 14:40:00,"A","Debug"
"521",2018-01-04 15:00:00,"B","No clue"
"522",2018-01-04 15:20:00,"C","Warn"
"523",2018-01-04 15:40:00,"A","Debug"
"524",2018-01-04 16:00:00,"B","Limit"
"525",2018-01-04 16:20:00,"C","Debug"
"526",2018-01-04 16:40:00,"A","Limit"
"527",2018-01-04 17:00:00,"B","Attach"
"528",2018-01-04 17:20:00,"C","Limit"
"529",2018-01-04 17:40:00,"A","Warn"
"530",2018-01-04 18:00:00,"B","Warn"
"531",2018-01-04 18:20:00,"C","Warn"
"532",2018-01-04 18:40:00,"A","Warn"
"533",2018-01-04 19:00:00,"B","Limit"
"534",2018-01-04 19:20:00,"C","No clue"
"535",2018-01-04 19:40:00,"A","Error"
"536",2018-01-04 20:00:00,"B","No clue"
"537",2018-01-04 20:20:00,"C","Attach"
"538",2018-01-04 20:40:00,"A","Warn"
"539",2018-01-04 21:00:00,"B","Attach"
"540",2018-01-04 21:20:00,"C","Warn"
"541",2018-01-04 21:40:00,"A","No clue"
"542",2018-01-04 22:00:00,"B","Attach"
"543",2018-01-04 22:20:00,"C","Warn"
"544",2018-01-04 22:40:00,"A","Debug"
"545",2018-01-04 23:00:00,"B","Check with author"
"546",2018-01-04 23:20:00,"C","No clue"
"547",2018-01-04 23:40:00,"A","Limit"
"548",2018-01-05 00:00:00,"B","Attach"
"549",2018-01-05 00:20:00,"C","Debug"
"550",2018-01-05 00:40:00,"A","Attach"
"551",2018-01-05 01:00:00,"B","Limit"
"552",2018-01-05 01:20:00,"C","Check with author"
"553",2018-01-05 01:40:00,"A","Check with author"
"554",2018-01-05 02:00:00,"B","Limit"
"555",2018-01-05 02:20:00,"C","Error"
"556",2018-01-05 02:40:00,"A","Warn"
"557",2018-01-05 03:00:00,"B","Debug"
"558",2018-01-05 03:20:00,"C","Warn"
"559",2018-01-05 03:40:00,"A","Warn"
"560",2018-01-05 04:00:00,"B","Error"
"561",2018-01-05 04:20:00,"C","Check with author"
"562",2018-01-05 04:40:00,"A","No clue"
"563",2018-01-05 05:00:00,"B","Attach"
"564",2018-01-05 05:20:00,"C","Limit"
"565",2018-01-05 05:40:00,"A","No clue"
"566",2018-01-05 06:00:00,"B","No clue"
"567",2018-01-05 06:20:00,"C","Limit"
"568",2018-01-05 06:40:00,"A","Error"
"569",2018-01-05 07:00:00,"B","Warn"
"570",2018-01-05 07:20:00,"C","Check with author"
"571",2018-01-05 07:40:00,"A","No clue"
"572",2018-01-05 08:00:00,"B","No clue"
"573",2018-01-05 08:20:00,"C","No clue"
"574",2018-01-05 08:40:00,"A","Debug"
"575",2018-01-05 09:00:00,"B","Warn"
"576",2018-01-05 09:20:00,"C","Attach"
"577",2018-01-05 09:40:00,"A","Warn"
"578",2018-01-05 10:00:00,"B","Attach"
"579",2018-01-05 10:20:00,"C","No clue"
"580",2018-01-05 10:40:00,"A","Limit"
"581",2018-01-05 11:00:00,"B","Attach"
